State,Governor,Party,DNU_Party,Born,Prior public experience,Inauguration,End of term
Alabama,Kay Ivey,Republican,Republican,"October 15, 1944 (age 75)","Lieutenant Governor, Treasurer",42835,2023
Alaska,Mike Dunleavy,Republican,Republican,"May 5, 1961 (age 58)",Alaska Senate,43437,2022
Arizona,Doug Ducey,Republican,Republican,"April 9, 1964 (age 56)",Treasurer,42009,2023 (term limits)
Arkansas,Asa Hutchinson,Republican,Republican,"December 3, 1950 (age 69)","Under Secretary of Homeland Security for Border & Transportation Security,
Administrator of the Drug Enforcement Administration, U.S. House, U.S. Attorney",42017,2023 (term limits)
California,Gavin Newsom,Democratic,Democratic,"October 10, 1967 (age 52)","Lieutenant Governor, Mayor of San Francisco",43472,2023
Colorado,Jared Polis,Democratic,Democratic,"May 12, 1975 (age 44)","U.S. House, Colorado State Board of Education",43473,2023
Connecticut,Ned Lamont,Democratic,Democratic,"January 3, 1954 (age 66)",Greenwich Selectman,43474,2023
Delaware,John Carney,Democratic,Democratic,"May 20, 1956 (age 63)","U.S. House, Lieutenant Governor",42752,2021
Florida,Ron DeSantis,Republican,Republican,"September 14, 1978 (age 41)",U.S. House,43473,2023
Georgia,Brian Kemp,Republican,Republican,"November 2, 1963 (age 56)","Secretary of State, Georgia Senate",43479,2023
Hawaii,David Ige,Democratic,Democratic,"January 15, 1957 (age 63)","Hawaii Senate, Hawaii House",41974,2022 (term limits)
Idaho,Brad Little,Republican,Republican,"February 15, 1954 (age 66)","Lieutenant Governor, Idaho Senate",43472,2023
Illinois,J. B. Pritzker,Democratic,Democratic,"January 19, 1965 (age 55)",No prior public experience,43479,2023
Indiana,Eric Holcomb,Republican,Republican,"May 2, 1968 (age 51)","Lieutenant Governor, Chief of Staff to Senator Dan Coats, Chair of the Indiana Republican Party, Deputy Chief of Staff to the Governor of Indiana",42744,2021
Iowa,Kim Reynolds,Republican,Republican,"August 4, 1959 (age 60)","Lieutenant Governor, Iowa Senate",42879,2023
Kansas,Laura Kelly,Democratic,Democratic,"January 24, 1950 (age 70)",Kansas Senate,43479,2023
Kentucky,Andy Beshear,Democratic,Democratic,"November 29, 1977 (age 42)",Attorney General,43809,2023
